종목코드,종목명,베타
184230,SGA솔루션즈,0.88
005090,SGC에너지,0.77
016250,SGC이테크건설,0.43
001380,SG글로벌,0.64
004060,SG세계물산,0.93
001770,SHD,1.27
002360,SH에너지화학,1.04
009160,SIMPAC,0.95
123700,SJM,1.19
025530,SJM홀딩스,0.60
034730,SK,1.65
011790,SKC,1.64
018670,SK가스,0.25
001740,SK네트웍스,0.91
006120,SK디스커버리,0.88
006125,SK디스커버리,0.88
210980,SK디앤디,0.25
068400,SK렌터카,0.63
395400,SK리츠,0.36
302440,SK바이오사이언스,1.63
326030,SK바이오팜,1.28
402340,SK스퀘어,1.12
361610,SK아이이테크놀로지,1.88
100090,SK오션플랜트,0.74
03473K,SK,1.65
096770,SK이노베이션,1.43
096775,SK이노베이션,1.43
001510,SK증권,1.07
001515,APS,-0.09
285130,BGF리테일,0.20
28513K,SK케미칼,1.20
017670,SK텔레콤,0.33
000660,SK하이닉스,1.21
048550,SM C&C,1.21
063440,SM Life Design,0.79
003570,SNT다이내믹스,0.81
064960,SNT모티브,0.67
100840,SNT에너지,0.48
036530,SNT홀딩스,0.35
005610,SPC삼립,0.32
011810,STX,1.12
465770,STX그린로지스,2.81
077970,STX엔진,0.56
071970,STX중공업,0.55
002820,SUN&L,1.04
289080,SV인베스트먼트,1.11
084870,TBH글로벌,0.43
002710,TCC스틸,2.29
089230,THE E&M,1.02
161570,THE MIDONG,1.40
032540,TJ미디어,0.43
022220,TKG애강,0.93
069260,TKG휴켐스,0.87
048770,TPC,0.62
246690,TS인베스트먼트,0.81
317240,TS트릴리온,-0.20
002900,TYM,0.64
024070,WISCOM,0.35
057030,YBM넷,0.77
037270,YG PLUS,0.56
040300,YTN,0.97
051390,YW,0.39
052220,iMBC,1.14
079940,가비아,0.56
078890,가온그룹,0.87
000500,가온전선,0.90
399720,가온칩스,2.00
036620,감성코퍼레이션,0.41
000860,강남제비스코,1.01
217730,강스템바이오텍,1.23
